question,answer,label
Is EQ-5D a valid quality of life instrument in patients with acute coronary syndrome?,yes,yes
Do preoperative serum C-reactive protein levels predict the definitive pathological stage in patients with clinically localized prostate cancer?,no,no
Chronic progressive cervical myelopathy with HTLV-I infection: Variant form of HAM/TSP?,yes,yes
Are pediatric concussion patients compliant with discharge instructions?,yes,yes
Can the postoperative pain level be predicted preoperatively?,yes,yes
Resection of colorectal liver metastases after second-line chemotherapy: is it worthwhile?,no,no
Does context matter for the relationship between deprivation and all-cause mortality?,no,no
Does sex influence the response to intravenous thrombolysis in ischemic stroke?,yes,yes
"Suturing of the nasal septum after septoplasty, is it an effective alternative to nasal packing?",yes,yes
Is discordance in TEOAE and AABR outcomes predictable in newborns?,yes,yes
Are bipolar disorders underdiagnosed in patients with depressive episodes?,maybe,maybe
Is robotically assisted laparoscopic radical prostatectomy less invasive than retropubic radical prostatectomy?,yes,yes
Can vaginal pH be measured from the wet mount slide?,no,no
Does preloading with colloids prevent hemodynamic changes when neurosurgical patients are subsequently changed to the seated position?,yes,yes
Does quantitative left ventricular regional wall motion change after fibrous tissue resection in endomyocardial fibrosis?,no,no
Is the Retromandibular Transparotid Approach a Reliable Option for the Surgical Treatment of Condylar Fractures?,yes,yes
Are there mental health differences between francophone and non-francophone populations in manitoba?,maybe,maybe
Is determination between complete and incomplete traumatic spinal cord injury clinically relevant?,maybe,maybe
Do we need imaging to diagnose appendicitis in children?,maybe,maybe
The Deformity Angular Ratio: Does It Correlate With High-Risk Cases for Potential Spinal Cord Monitoring Alerts in Pediatric 3-Column Thoracic Spinal Deformity Corrective Surgery?,yes,yes
Does the clinical presentation of a prior preterm birth predict risk in a subsequent pregnancy?,yes,yes
Do all ethnic groups in New Zealand exhibit socio-economic mortality gradients?,yes,yes
Could the extent of lymphadenectomy be modified by neoadjuvant chemotherapy in cervical cancer?,no,no
Are lower fasting plasma glucose levels at diagnosis of type 2 diabetes associated with improved outcomes?,yes,yes
Is hypoalbuminemia an independent prognostic factor in patients with gastric cancer?,no,no
Does ischemic preconditioning require reperfusion before index ischemia?,no,no
Can we rely on arterial line sampling in performing activated plasma thromboplastin time after cardiac surgery?,no,no
Is obesity a risk factor for wheezing among adolescents?,yes,yes
Can clinicians use the PHQ-9 to assess depression in people with vision loss?,yes,yes
The inverse equity hypothesis: does it apply to coverage of cancer screening in middle-income countries?,yes,yes
Do viral infections have a role in benign paroxysmal positional vertigo?,yes,yes
Is controlled ovarian stimulation in intrauterine insemination an acceptable therapy in couples with unexplained non-conception in the perspective of multiple pregnancies?,no,no
Do women residents delay childbearing due to perceived career threats?,yes,yes
Do elderly patients call 911 when presented with clinical scenarios suggestive of acute stroke?,maybe,maybe
Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,yes,yes
Do older patients who refuse to participate in a self-management intervention in the Netherlands differ from older patients who agree to participate?,yes,yes
Does psychological distress predict disability?,yes,yes
Out of the smokescreen II: will an advertisement targeting the tobacco industry affect young people's perception of smoking in movies and their intention to smoke?,yes,yes
Recurrent spontaneous abortion and skewed X-inactivation: is there an association?,no,no
c-Kit-dependent growth of uveal melanoma cells: a potential therapeutic target?,yes,yes
Colorectal cancer in young patients: is it a distinct clinical entity?,yes,yes
Does binge drinking during early pregnancy increase the risk of psychomotor deficits?,no,no
Are patients willing participants in the new wave of community-based medical education in regional and rural Australia?,yes,yes
Is duration of psychological treatment for depression related to return into treatment?,yes,yes
Are interstitial fluid concentrations of meropenem equivalent to plasma concentrations in critically ill patients receiving continuous renal replacement therapy?,no,no
Does accompanying metabolic syndrome contribute to heart dimensions in hypertensive patients?,maybe,maybe
Is Alveolar Macrophage Phagocytic Dysfunction in Children With Protracted Bacterial Bronchitis a Forerunner to Bronchiectasis?,yes,yes
Does sex affect the outcome of laparoscopic cholecystectomy?,yes,yes
Is HIV/STD control in Jamaica making a difference?,yes,yes
Canada's Compassionate Care Benefit: is it an adequate public health response to addressing the issue of caregiver burden in end-of-life care?,no,no
Are performance measurement systems useful?,yes,yes
Delays in time to primary treatment after a diagnosis of breast cancer: does it impact survival?,no,no
Is there awareness of pharmaceutical expenditure in the reformed primary care system?,no,no
"Body perception: do parents, their children, and their children's physicians perceive body image differently?",yes,yes
Vaginal dose assessment in image-guided brachytherapy for cervical cancer: Can we really rely on dose-point evaluation?,maybe,maybe
Remote ischemic postconditioning: does it protect against ischemic damage in percutaneous coronary revascularization?,yes,yes
